구매id,리뷰날짜,구매옵션,리뷰내용,리뷰점수,수량
racr***,2025-11-25T09:34:29.131+00:00,발송일 선택 (당일조리): 11월 19일 수요일 발송,구성이 다양하고 양도 넉넉해서 아기가 오래 먹네요 ㅎㅎ 재주문 하러 오겠습니다,5,1
iwal***,2025-11-29T16:20:30.101+00:00,발송일 선택 (당일조리): 11월 28일 금요일 발송,잘먹는 편이예요. Q&amp;A 알림이 안와서 원하지 않는 반찬은 하나 받긴 했네요.,4,1
wngp****,2025-12-03T06:00:27.095+00:00,발송일 선택 (당일조리): 10월 31일 금요일 발송,아이가 잘 먹어요 . 브로콜리는 싫어하네요,5,1
ksw9***,2025-12-06T03:19:52.304+00:00,발송일 선택 (당일조리): 12월 5일 금요일 발송,구성이 너무 좋네요 먹여볼께요,5,1
lhy3***,2025-11-25T09:17:41.726+00:00,발송일 선택 (당일조리): 11월 12일 수요일 발송,너무 맛있게 잘 먹었어요!!! 4주 정기배송 시킵니닿ㅎㅎ,5,1
rldt******,2025-11-30T01:58:36.185+00:00,발송일 선택 (당일조리): 11월 25일 화요일 발송,여기저기 반찬 시켜 봤는데 이곳이 제일 마음에 들어요,5,1
kbk2***,2025-12-03T03:20:46.219+00:00,발송일 선택 (당일조리): 12월 2일 화요일 발송,"육아휴직 중인  아기아빠인데
아이들 하원후 매일 저녁준비가 부담되어서
한번 시범적으로 주문했는데 맘에드네요
아이들이 좋아했으면 좋겠어요ㅎㅎ",5,1
kh****,2025-11-27T13:46:48.421+00:00,발송일 선택 (당일조리): 11월 26일 수요일 발송,첫주문이라 단품으로 주문했어요! 반찬 가득오니 마음이 든든하네요^^,5,1
real******,2025-11-15T13:53:23.313+00:00,발송일 선택 (당일조리): 11월 11일 화요일 발송,해외에서 잠시 한국 방문을 하게 되어 편하게 아이 먹이려고 구매했는데 다양한 구성이 마음에 들었어요!,5,1
qkrg********,2025-12-04T04:47:17.642+00:00,발송일 선택 (당일조리): 12월 2일 화요일 발송,음식 깔끔하고 맛있어용,5,1
luvi****,2025-11-15T04:17:17.258+00:00,발송일 선택 (당일조리): 11월 11일 화요일 발송,안먹는 메뉴는 다른걸로 교환되는지 몰라서 떡볶이 그냥 받았는데 교환되나보네요~ 첫주문이라 시켜봣는데 떡 말고는 아기가 다 잘먹는거같아서 정기주문해보려구요!,5,1
jewo******,2025-11-30T04:13:02.184+00:00,발송일 선택 (당일조리): 11월 28일 금요일 발송,다양한 음식을 먹을 수 있어 좋아요,5,1
su****,2025-12-02T06:55:47.289+00:00,발송일 선택 (당일조리): 11월 28일 금요일 발송,깔끔하고 맛도 있어요~,5,1
dmsw****,2025-11-13T12:58:36.033+00:00,발송일 선택 (당일조리): 11월 11일 화요일 발송,"아이셋 엄마인대, 막내가 오빠들이랑 차이가 많이나서 주문해봤는데 국 잘먹어요 ㅋㅋ
한번 바르르 끓여보과하면좋데서 끓얐어요~
비빔밥도있고 좋네요 ㅎㅎ",5,1
stum*****,2025-11-22T07:32:15.891+00:00,발송일 선택 (당일조리): 11월 21일 금요일 발송,빠른배송! 그리고 구성이 알차요!,5,1
sun_*****,2025-11-21T09:21:05.306+00:00,발송일 선택 (당일조리): 11월 18일 화요일 발송,"항상 잘먹고있어요
국은 너무 건더기가 없고 물만 있는것 같아요",5,1
wnls*****,2025-11-25T09:05:48.024+00:00,발송일 선택 (당일조리): 11월 19일 수요일 발송,좋아요 많이 잘 먹어요 완밥 인증,5,1
mise******,2025-12-02T12:06:22.453+00:00,발송일 선택 (당일조리): 11월 25일 화요일 발송,매주 주문해여 아이가 잘 먹어요~~~~,5,1
khyu*****,2025-11-27T08:17:10.913+00:00,발송일 선택 (당일조리): 11월 26일 수요일 발송,저번 주문한 반찬은 안먹는게 많았는데 이번엔 다 잘먹길..ㅠㅠ,5,1
redc*******,2025-11-29T07:24:38.535+00:00,발송일 선택 (당일조리): 11월 26일 수요일 발송,나가사키짬뽕국 너무 잘먹어요 ㅎㅎㅎ,5,1
ro****,2025-12-03T09:41:30.006+00:00,발송일 선택 (당일조리): 11월 28일 금요일 발송,아기먹기 좋게 잘 잘려있고 저염이에요 아기가 반찬을 잘 안먹어서 먹진 않지만..ㅜㅜ 구성은 너무 좋아요 또 시킬 것 같아요,5,1
jewo******,2025-11-25T00:16:16.211+00:00,발송일 선택 (당일조리): 11월 21일 금요일 발송,아이가 다양한 반찬을 맛있게 먹어요,5,1
jinh*****,2025-10-24T04:46:01.487+00:00,발송일 선택 (당일조리): 10월 22일 수요일 발송,"먼저 배송상태가 너무 안좋아요
날씨가 선선해졌지만 낮에는 더울 수도 있어서 아이스팩 추가해서 시켰어요
도착해서 열어봤는데 아이스팩이 터져있어서 완전 물바다네요
반찬용기를 뽁뽁이 주머니에 담으셨는데 주머니 안쪽도 다 물바다 밖에도 다 물바다..
심지어 뽁뽁이 주머니도 구멍이 났는지 물이 질질 새더라구요
도대체 몇개가 터진건지도 모르겠어요
물에 담가져있는 용기... 그 안에 들은 반찬은 괜찮을까 싶어서 하나하나 다 먹어봤어요
반찬 맛 자체는 나쁘지 않아요
아이스팩이 너무 약한 건 아닌가 생각되네요
시간 아끼자고 배달 시키는건데 정리하느냐고 시간보내면 안되잖아요...
다음에 또 주문하게되면 개선되었으면 좋겠어요",3,1
1am_*******,2025-12-01T04:52:22.805+00:00,발송일 선택 (당일조리): 11월 28일 금요일 발송,첫 주문인데 일단 가격만큼 양도 많고 종류도 다양해서 너무 좋네요~! 아기가 잘 먹어주면 좋겠습니다 ㅠㅠ,5,1
mini*****,2025-11-16T01:23:22.932+00:00,발송일 선택 (당일조리): 11월 14일 금요일 발송,"반찬, 국 모두 맛있어요👍 메뉴 구성도 좋아요",5,1
y_jn******,2025-11-20T03:58:37.890+00:00,발송일 선택 (당일조리): 11월 19일 수요일 발송,처음 주문해봤어요 먹여보고 잘먹으면 계속 배송시켜먹을생각입니다,5,1
kimy*****,2025-11-19T05:24:52.748+00:00,발송일 선택 (당일조리): 11월 11일 화요일 발송,진짜편해요..애기도잘먹어요가끔반찬하기싫을때,5,1
sh76****,2025-11-25T13:56:46.873+00:00,발송일 선택 (당일조리): 11월 14일 금요일 발송,20개월 아이 정말 맛있게 먹어요^^,5,1
dodo******,2025-11-23T09:09:10.528+00:00,발송일 선택 (당일조리): 10월 17일 금요일 발송,"아이가 모든 반찬을 잘 먹는 것은 아니지만, 다양한 식재료를 편리하게 시도해 볼 수 있어서 좋습니다. 매번 잘 이용하고있어요.",5,1
cadn*******,2025-11-20T07:15:28.467+00:00,발송일 선택 (당일조리): 11월 18일 화요일 발송,반찬종류도 다양하고 양도 넉넉하고 좋아요!,5,1
jsu9***,2025-11-22T11:54:50.907+00:00,발송일 선택 (당일조리): 11월 19일 수요일 발송,"아기가 너무 잘먹어요~
이전에 다른곳에서 주문하곳에선 안먹어서 주문해봤는데 너무 잘먹네요
여기로 정착해야겠어요",5,1
redh*******,2025-11-19T06:28:53.049+00:00,발송일 선택 (당일조리): 11월 18일 화요일 발송,아이가 잘 먹어요 구성도 만족,5,1
sglu***,2025-11-19T07:16:59.605+00:00,발송일 선택 (당일조리): 10월 24일 금요일 발송,아기반찬고민없이 골고루먹이니 좋아요,5,1
abou****,2025-12-08T03:51:12.309+00:00,발송일 선택 (당일조리): 11월 26일 수요일 발송,배송도 빠르고 아이가 좋아하네요,5,1
wjdt******,2025-12-03T14:25:04.368+00:00,발송일 선택 (당일조리): 10월 15일 수요일 발송,매번 잘시켜먹고 있어요 ㅎㅎ제가먹어도너무맛나요ㅎㅎ,5,1
thgu*****,2025-11-16T13:12:34.225+00:00,발송일 선택 (당일조리): 11월 7일 금요일 발송,"반찬은 맛있고 양도많아요
우리아이가 돌아기 이빨이 아래위총 4개라 입자감이 좀 큰감이있고 부드럽진않지만 연령에 맞는아기들이 먹이기엔 가격대비 양 질 구성 모두 좋아요",5,1
kkak********,2025-12-01T15:44:19.773+00:00,발송일 선택 (당일조리): 11월 28일 금요일 발송,아이도 잘먹고 제가 먹어도 맛있어서 자주 시켜요~,5,2
kkak********,2025-12-01T15:44:15.211+00:00,발송일 선택 (당일조리): 11월 26일 수요일 발송,아이도 잘먹고 제가 먹어도 맛있어서 자주 시켜요~,5,1
u_hy******,2025-11-28T00:11:05.193+00:00,발송일 선택 (당일조리): 11월 26일 수요일 발송,"반찬 퀄리티가 좋습니다
아이에게 여러가지 반찬을 해주기 쉽지 않은데 다양하게 먹일수 있어 좋아요",5,1
wjdt******,2025-12-03T14:19:59.147+00:00,발송일 선택 (당일조리): 11월 26일 수요일 발송,국이 너무 맛있어요ㅎㅎ아이가 밥말아서 잘먹어요,5,1
uk****,2025-11-16T12:53:34.221+00:00,발송일 선택 (당일조리): 10월 31일 금요일 발송,이번에 두번째 주문인데 잘먹고잇어요,5,1
sooo*****,2025-12-05T00:45:13.558+00:00,발송일 선택 (당일조리): 12월 2일 화요일 발송,항상 맛있게 먹어서 이제 정기식단으로 주문하려고 합니다.,5,1
suas***,2025-11-13T10:46:24.658+00:00,발송일 선택 (당일조리): 11월 12일 수요일 발송,"애기가 좋아하는 짜장이 와서 좋아햇는데
이상해서 보니 덮밥이아니고 볶음이네요 ㅋㅋ 아쉽",5,1
giri****,2025-11-20T05:27:24.354+00:00,발송일 선택 (당일조리): 11월 12일 수요일 발송,항상 잘 먹이고 있어용,5,2
giri****,2025-11-20T05:27:01.679+00:00,발송일 선택 (당일조리): 11월 18일 화요일 발송,항상 잘 먹이고 있어용,5,1
cjso***,2025-11-03T03:56:54.675+00:00,발송일 선택 (당일조리): 10월 31일 금요일 발송,"가정보육하면서 세끼 해먹이기 어려운데 덕분에 편하게 밥 해먹이고 있어요.
메뉴도 다양하고, 재료도 신선해요.",5,1
hj88***,2025-11-13T20:30:34.109+00:00,발송일 선택 (당일조리): 10월 31일 금요일 발송,메뉴판도 보내주시고 입자크기도 적당하고 너무 만족합니다,5,2
hj88***,2025-11-13T20:26:58.139+00:00,발송일 선택 (당일조리): 11월 11일 화요일 발송,메뉴판도 보내주시고 입자크기도 적당하고 너무 만족합니다,5,1
chlr****,2025-11-16T01:08:22.286+00:00,발송일 선택 (당일조리): 11월 11일 화요일 발송,2주에 한번씩 주문해요 잘먹어요,4,1
1004*******,2025-11-21T03:10:46.887+00:00,발송일 선택 (당일조리): 11월 19일 수요일 발송,아기가 잘 먹었으면 좋겠어용~,5,1
sini********,2025-10-24T02:55:53.017+00:00,발송일 선택 (당일조리): 10월 22일 수요일 발송,"다른곳에서 시킨 아이반찬이 
아이 입에 맞지 않아 계속 찾던중
아기가 너무 잘 먹는다는 리뷰가 많아
주문 넣었는데 너무 잘먹어요!!! 
특히 볼카츠 너무 잘 먹어 놀랐습니다
 재구매할게요!!",5,1
zyth****,2025-11-18T13:40:42.615+00:00,발송일 선택 (당일조리): 11월 11일 화요일 발송,"걍. 최고.
울아기 건강챙기거플때마다 삼",5,1
dlru*****,2025-11-29T22:56:27.274+00:00,발송일 선택 (당일조리): 11월 7일 금요일 발송,맛있게 먹었어요~ 감사합니다,4,1
no98******,2025-11-17T15:39:56.268+00:00,발송일 선택 (당일조리): 11월 12일 수요일 발송,안전하게 배송왔어요 좋아요~,5,1
comm****,2025-11-10T14:18:36.174+00:00,발송일 선택 (당일조리): 11월 7일 금요일 발송,"건강한반찬이에요~ 
매일반찬해주기 힘들어서 이제부턴 매주 주문하려고합니다~",5,1
jsu9***,2025-12-04T02:59:23.920+00:00,발송일 선택 (당일조리): 12월 3일 수요일 발송,양도 넉넉하고 아이도 잘먹어서 만족해요~,5,1
pe****,2025-11-23T00:59:47.723+00:00,발송일 선택 (당일조리): 11월 4일 화요일 발송,"여기서만 반찬을 사 먹게 되는 거 같아요..
아기도 좋아하고 잘 먹고 메뉴도 다양하고 배달도 굿",5,1
jeon*******,2025-11-16T13:48:04.217+00:00,발송일 선택 (당일조리): 11월 12일 수요일 발송,아이가 밥을 잘먹기 시작했어요,5,1
somi*****,2025-11-11T14:24:05.206+00:00,발송일 선택 (당일조리): 10월 15일 수요일 발송,맛있어요 여러번 주문했어요,5,1
on_k***,2025-10-27T04:24:24.494+00:00,발송일 선택 (당일조리): 10월 24일 금요일 발송,"국, 여섯가지 반찬 제가 먹어도 맛있어요~어느정도 간이 되어 있어서 아기도 잘 먹는 것 같아요~맛있는 반찬 있어서 든든해요",5,1
miry*****,2025-09-06T05:02:08.880+00:00,발송일 선택 (당일조리): 9월 3일 수요일 발송,목요일 아침에 도착해 있는 택배를 보고 반가웠어요. 그런데 오늘 점심에 아기탕국을 끓여서 먹였는데 비닐 같은 게 나왔어요. 저는 1개 정도면 그냥 지나 갈려고 했는데 4개 나왔구요. 탕국 안에 더 있을 것 같아요. 조금 비싸다고 생각은 했지만 반찬을 아기가 잘 먹어서 괜찮다 생각하고 있었는데 탕국에서 이런 비닐이 나오니 저도 깜짝 놀랬네요.,1,1
jihi****,2025-11-09T10:38:13.075+00:00,발송일 선택 (당일조리): 11월 7일 금요일 발송,처음시키는데 양도 많고 싱거워서 아기 먹이기 좋네요,5,1
lhso****,2025-11-14T01:34:09.595+00:00,발송일 선택 (당일조리): 11월 7일 금요일 발송,포장도 깔끔하게오고 양도 꽤 많아요!,5,1
dbfa***,2025-11-30T10:21:55.050+00:00,발송일 선택 (당일조리): 11월 25일 화요일 발송,아기가 엄청 잘먹어서 좋아요 계속 시킬거같아오,5,1
semi*****,2025-11-06T01:56:45.149+00:00,발송일 선택 (당일조리): 10월 31일 금요일 발송,"애들이  밥그릇 싹비웠어요
감사합니다",5,1
tnsa*****,2025-11-25T00:31:57.196+00:00,발송일 선택 (당일조리): 11월 21일 금요일 발송,잘먹엇어요~ 이번엔 호박전 반죽을 주셔서 직접 부쳐먹얶어오~ 맛잇엇요~~,5,1
sung******,2025-12-05T13:45:16.077+00:00,발송일 선택 (당일조리): 11월 5일 수요일 발송,가끔씩 시켜먹는데 잘먹어요,5,1
co****,2025-12-03T12:54:12.775+00:00,발송일 선택 (당일조리): 11월 21일 금요일 발송,아이가 잘먹어서 좋아요,5,2
se****,2025-11-16T10:49:13.385+00:00,발송일 선택 (당일조리): 11월 4일 화요일 발송,잘 먹고 있어요ㅎㅎ,5,1
shin******,2025-11-08T11:41:49.819+00:00,발송일 선택 (당일조리): 11월 7일 금요일 발송,18개월 들어왓는데 너무 식사량이 적어서 주문햇는데 잘 먹길 바랍니다 ㅠㅠㅠ,5,1
ohys****,2025-12-07T06:03:48.938+00:00,발송일 선택 (당일조리): 11월 19일 수요일 발송,매우마우만좃합니다!!,5,1
moon*******,2025-12-03T06:36:17.236+00:00,발송일 선택 (당일조리): 12월 2일 화요일 발송,항상 만족하는 반찬입니다^^,5,3
zini****,2025-11-16T06:50:30.750+00:00,발송일 선택 (당일조리): 10월 21일 화요일 발송,여기 진짜 맛있구요 간이 쌔지 않은데 딱딱 맞아요 재재쥬문 하는 집이에요,5,1
taeh*******,2025-12-05T12:21:38.427+00:00,발송일 선택 (당일조리): 12월 3일 수요일 발송,덕분에 애 잘 키웁니다,5,1
jomi***,2025-10-21T00:43:35.439+00:00,발송일 선택 (당일조리): 10월 17일 금요일 발송,반찬 양도 너무 좋고 냉장인지 냉동인지 보관 방법도 알려줘서 너무 좋아요!! 골고루 먹일 수 있어서 너무 만족합니다,5,1
leeg*****,2025-11-21T07:05:13.513+00:00,발송일 선택 (당일조리): 11월 14일 금요일 발송,어묵국을 특히 잘 먹어요! 깍두기는 정말 따로 팔아주셨으면 할 정도예요,5,1
taeh*******,2025-12-05T12:22:01.692+00:00,발송일 선택 (당일조리): 11월 28일 금요일 발송,감사합니다 좋네용ㅇ,5,1
wy****,2025-11-11T05:03:05.377+00:00,발송일 선택 (당일조리): 9월 10일 수요일 발송,반찬 종류가 다양하고 아이가 잘 먹어요,5,1
fend*****,2025-10-28T16:20:08.055+00:00,발송일 선택 (당일조리): 10월 21일 화요일 발송,"반찬투정하는 세돌아기가 정말 잘먹어요
정기권 구매하려구요",5,1
wjdt******,2025-11-22T07:03:58.918+00:00,발송일 선택 (당일조리): 11월 18일 화요일 발송,왜케 맛있나요메뉴도 너무 좋고 잘 시켜먹고 있어요ㅎㅎ,5,1
inba****,2025-11-13T06:40:28.626+00:00,발송일 선택 (당일조리): 11월 12일 수요일 발송,"진짜.....너어무 만족해요
동네 아이 반찬집은 만족이 안되서 찾다가 주문햊봤는데 만족해서 두번째 주문해 먹었어요~",5,1
chlr****,2025-12-02T13:56:09.881+00:00,발송일 선택 (당일조리): 10월 28일 화요일 발송,매번 주문하는 상품이에요,4,1
tjfl******,2025-11-24T12:25:06.171+00:00,발송일 선택 (당일조리): 11월 7일 금요일 발송,전 메뉴들은 아이가 잘먹었는데 이번 반찬은 잘안먹어서 속상해요 ㅠㅠ,4,1
haji******,2025-12-02T02:44:03.053+00:00,발송일 선택 (당일조리): 11월 28일 금요일 발송,꾸준히 잘 사먹고 있어요,5,1
uk****,2025-10-28T03:26:17.518+00:00,발송일 선택 (당일조리): 10월 15일 수요일 발송,너무너무 잘먹엇어요 아이가 좋아해서 다행이에요,5,1
tktl*****,2025-11-13T00:24:53.763+00:00,발송일 선택 (당일조리): 11월 7일 금요일 발송,아기가 잘먹습니다.,5,1
eksq*****,2025-11-05T06:57:37.631+00:00,발송일 선택 (당일조리): 11월 4일 화요일 발송,종류도 여러가지고 포장도 잘되있고 아이도 잘먹습니다,5,1
tjru****,2025-11-29T06:16:18.549+00:00,발송일 선택 (당일조리): 11월 25일 화요일 발송,아이가 너무 잘먹어요,5,4
tjru****,2025-11-29T06:16:00.987+00:00,발송일 선택 (당일조리): 11월 18일 화요일 발송,아이가 너무 잘먹어요,5,1
dmsw****,2025-10-20T07:39:07.291+00:00,발송일 선택 (당일조리): 10월 17일 금요일 발송,"처음 주문해 봅니다.
제가 먹어 봐도 간간 하니 맛있네요
아이의 
최애는 국인 것 같아요^^
잘 먹겠습니다",5,1
sy06***,2025-11-15T18:45:46.880+00:00,발송일 선택 (당일조리): 11월 7일 금요일 발송,반찬구성 다양하고 맛있고 아이가 먹기좋은 사이즈로  잘게 잘라져있아서 좋았어요!,4,1
ambe*****,2025-11-19T11:30:34.439+00:00,발송일 선택 (당일조리): 11월 18일 화요일 발송,"양도넉넉하고좋아요
다만14갤아기한테는 간이 조금쎈편인거 같긴해서
별하나는뺐어요ㅎㅎ",4,1
yi****,2025-11-30T04:31:53.327+00:00,발송일 선택 (당일조리): 11월 18일 화요일 발송,늘 잘 먹고.있습니다,5,1
ahj1***,2025-09-27T07:44:49.147+00:00,발송일 선택 (당일조리): 9월 23일 화요일 발송,"한번 찾아봤는데 덜컥 검색되어서 
조금 의심하며 주문했어요 
혹시나 안 먹으면 낭패라서 고민했는데
한 번 주문도 있더라구요
아가가 너무 잘 먹어요
제가 한 번 맛 봤는데 왜 잘 먹는지 알거같아요
맛있어요 고기도 냄새안나고 무르고 담백해요
씹기 힘든건 얇게 그래도 생경해서 뱉어내면
계란찜해줬더니 잘 먹더라구요 
이제 쭉 시킬게요 &hearts;",5,1
inba****,2025-11-29T12:21:05.748+00:00,발송일 선택 (당일조리): 11월 28일 금요일 발송,배송빨라요 좋아요 ㅋ,5,1
jsu9***,2025-11-27T12:06:32.053+00:00,발송일 선택 (당일조리): 11월 26일 수요일 발송,반찬종류도 다양하고 양도 넉넉해요,5,1
blue*****,2025-11-25T04:26:26.354+00:00,발송일 선택 (당일조리): 11월 5일 수요일 발송,처음 시캬봤는데 아이마다 호불호가 있는거 같아요~,5,1
minh***,2025-11-22T13:08:55.576+00:00,발송일 선택 (당일조리): 11월 18일 화요일 발송,아이가 좋아해서 또 주문 했어요 !,5,1
ckwn********,2025-11-28T01:39:23.727+00:00,발송일 선택 (당일조리): 11월 19일 수요일 발송,아기가 너무 좋아해요!!,5,1
